id;created_date;modified_date;is_deleted;recency;frequency;monetary;recency_score;frequency_score;monetary_score;rfm_score;segment;customer_id
0;2021-03-31 21:47:33.000001;2021-03-31 21:47:33.000001;0;328;3;1398;2;3;5;235;at_Risk;12346
1;2021-03-31 21:47:33.000002;2021-03-31 21:47:33.000002;0;42;8;425;4;4;4;444;loyal_customers;12347
2;2021-03-31 21:47:33.000003;2021-03-31 21:47:33.000003;0;78;5;1548;3;4;5;345;loyal_customers;12348
3;2021-03-31 21:47:33.000004;2021-03-31 21:47:33.000004;0;21;4;218;5;3;3;533;need_attention;12349
4;2021-03-31 21:47:33.000005;2021-03-31 21:47:33.000005;0;312;1;40;2;1;1;211;hibernating;12350
5;2021-03-31 21:47:33.000006;2021-03-31 21:47:33.000006;0;377;1;145;2;1;2;212;hibernating;12351
6;2021-03-31 21:47:33.000007;2021-03-31 21:47:33.000007;0;74;10;754;4;5;4;454;loyal_customers;12352
7;2021-03-31 21:47:33.000008;2021-03-31 21:47:33.000008;0;206;2;960;2;2;5;225;hibernating;12353
8;2021-03-31 21:47:33.000009;2021-03-31 21:47:33.000009;0;235;1;232;2;1;3;213;hibernating;12354
9;2021-03-31 21:47:33.000010;2021-03-31 21:47:33.000010;0;97;2;35;3;2;1;321;hibernating;12355
10;2021-03-31 21:47:33.000011;2021-03-31 21:47:33.000011;0;25;6;219;5;4;3;543;potential_loyalists;12356
11;2021-03-31 21:47:33.000012;2021-03-31 21:47:33.000012;0;154;3;399;3;3;4;334;need_attention;12357
12;2021-03-31 21:47:33.000013;2021-03-31 21:47:33.000013;0;5;5;1153;5;4;5;545;loyal_customers;12358
13;2021-03-31 21:47:33.000014;2021-03-31 21:47:33.000014;0;11;10;882;5;5;5;555;champions;12359
14;2021-03-31 21:47:33.000015;2021-03-31 21:47:33.000015;0;54;7;1366;4;4;5;445;loyal_customers;12360
15;2021-03-31 21:47:33.000016;2021-03-31 21:47:33.000016;0;289;4;15;2;3;1;231;at_Risk;12361
16;2021-03-31 21:47:33.000017;2021-03-31 21:47:33.000017;0;31;11;1869;4;5;5;455;loyal_customers;12362
17;2021-03-31 21:47:33.000018;2021-03-31 21:47:33.000018;0;38;2;327;4;2;3;423;at_Risk;12363
18;2021-03-31 21:47:33.000019;2021-03-31 21:47:33.000019;0;42;4;245;4;3;3;433;need_attention;12364
19;2021-03-31 21:47:33.000020;2021-03-31 21:47:33.000020;0;293;2;72;2;2;2;222;hibernating;12365
20;2021-03-31 21:47:33.000021;2021-03-31 21:47:33.000021;0;636;1;759;1;1;4;114;hibernating;12366
21;2021-03-31 21:47:33.000022;2021-03-31 21:47:33.000022;0;213;1;63;2;1;2;212;hibernating;12367
22;2021-03-31 21:47:33.000023;2021-03-31 21:47:33.000023;0;630;1;35;1;1;1;111;hibernating;12368
23;2021-03-31 21:47:33.000024;2021-03-31 21:47:33.000024;0;416;3;629;1;3;4;134;at_Risk;12369
24;2021-03-31 21:47:33.000025;2021-03-31 21:47:33.000025;0;53;7;521;4;4;4;444;loyal_customers;12370
25;2021-03-31 21:47:33.000026;2021-03-31 21:47:33.000026;0;32;5;317;4;4;3;443;loyal_customers;12371
26;2021-03-31 21:47:33.000027;2021-03-31 21:47:33.000027;0;37;3;1936;4;3;5;435;loyal_customers;12372
27;2021-03-31 21:47:33.000028;2021-03-31 21:47:33.000028;0;344;3;247;2;3;3;233;at_Risk;12373
28;2021-03-31 21:47:33.000029;2021-03-31 21:47:33.000029;0;27;4;207;4;3;3;433;need_attention;12374
29;2021-03-31 21:47:33.000030;2021-03-31 21:47:33.000030;0;13;2;75;5;2;2;522;hibernating;12375
30;2021-03-31 21:47:33.000031;2021-03-31 21:47:33.000031;0;392;2;286;2;2;3;223;hibernating;12376
31;2021-03-31 21:47:33.000032;2021-03-31 21:47:33.000032;0;317;4;105;2;3;2;232;at_Risk;12377
32;2021-03-31 21:47:33.000033;2021-03-31 21:47:33.000033;0;307;2;120;2;2;2;222;hibernating;12378
33;2021-03-31 21:47:33.000034;2021-03-31 21:47:33.000034;0;84;4;908;3;3;5;335;need_attention;12379
34;2021-03-31 21:47:33.000035;2021-03-31 21:47:33.000035;0;24;11;1201;5;5;5;555;champions;12380
35;2021-03-31 21:47:33.000036;2021-03-31 21:47:33.000036;0;2;4;234;5;3;3;533;need_attention;12381
36;2021-03-31 21:47:33.000037;2021-03-31 21:47:33.000037;0;10;5;376;5;4;4;544;loyal_customers;12383
37;2021-03-31 21:47:33.000038;2021-03-31 21:47:33.000038;0;31;2;120;4;2;2;422;hibernating;12384
